HDR_MIC;HDR_MESSAGETYPE;HDR_TOPICID;HDR_PARTITIONID;HDR_OFFSETID;HDR_THREADID;produceTime;consumeTime;versionID;eMM;marketModel;iMSActive;valuationTradeType;aIPType;dynamicCollarReferencePriceSource;dynamicCollarLogic;collarUnhaltDelay;collarMaxUnhaltNb;collarUncrossingExpansionFactor;staticCollarLogic;staticCollarReferencePriceSource;rFEConfirmationPeriod;orderPriceControlReferencePriceSource;offerOnlyAuthorizationIndicator
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;8;124;0;1;27;3;2755143549;35;146;0;126;-1105326103;163;194
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;8;129;0;2;184;0;67621477;170;72;0;178;-2014675402;21;228
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;5;136;0;0;14;2;1693880110;128;152;1;223;-1711574560;38;98
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;1;5;2;2;225;0;695812141;187;7;0;236;-1608468098;218;132
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;7;187;2;0;151;2;2242834018;52;73;0;180;-1724734663;134;192
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;4;133;1;0;90;0;1504802397;20;162;1;180;443077306;67;28
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;3;149;4;1;242;3;1223435434;241;251;1;179;1550336911;239;30
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;2;3;2;2;80;3;752960186;123;131;0;98;1667685882;79;13
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;8;105;2;0;136;3;3475393436;87;175;0;144;1094462800;184;150
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;8;92;3;3;230;2;291410628;101;240;0;180;1934133460;243;161
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;6;224;1;2;17;3;2901624454;253;48;1;33;1558152068;82;172
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;7;163;1;0;53;3;2034055536;73;244;1;203;-609793577;55;242
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;6;236;0;0;83;0;1902607005;137;127;1;8;1168637365;150;111
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;3;35;3;2;152;0;341354608;113;72;0;113;1626365974;190;58
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;1;159;6;3;208;0;3876428511;124;201;1;192;1195902587;240;60
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;5;27;5;2;232;3;654115144;188;35;0;137;-1343131560;178;150
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;7;243;2;1;175;2;1855087137;248;15;0;199;1979511921;83;1
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;6;205;5;1;236;3;769313432;252;191;1;148;-709300191;42;98
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;2;186;1;1;156;3;607428966;198;195;0;155;1469762298;143;76
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;6;4;6;2;89;3;3903595731;44;38;1;82;-782962215;200;84
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;6;143;1;1;242;3;1513723628;87;205;0;180;866800665;225;7
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;7;57;6;2;146;3;1245270069;231;72;0;78;2116977228;35;114
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;7;82;3;0;116;2;2766057551;122;104;1;25;-1165035506;66;219
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;5;108;3;2;86;0;3608532487;161;8;1;153;-1587540056;54;98
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;7;201;3;2;17;0;1052036205;163;238;1;16;-1468992357;238;146
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;4;135;5;3;45;2;4281637503;184;6;1;223;1415869884;129;73
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;5;185;3;2;15;2;1922733478;196;20;0;99;-1104898268;131;181
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;8;149;2;0;217;3;3155433434;84;227;0;99;1120728680;181;250
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;1;2;2;1;121;2;157531396;221;63;1;123;-643506476;150;98
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;4;248;2;3;248;2;3172346132;33;107;1;70;1238281971;197;159
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;3;17;2;2;212;2;2530330070;122;127;0;210;-1736079987;114;74
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;5;60;0;1;184;0;1363128473;9;1;1;7;-508578139;41;62
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;8;228;0;2;163;3;1573460638;38;183;1;194;-367492636;148;140
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;15;3;46;3;1;253;2;1757486419;181;241;0;51;-1720490219;157;122
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;2;205;3;1;106;2;3071529760;246;248;1;112;561287073;55;239
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;7;44;3;0;207;0;2682928333;190;30;0;207;-937049993;195;202
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;4;82;2;1;47;0;1656994612;214;86;0;95;1706826958;38;11
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;5;24;1;1;53;3;3616804531;152;51;1;60;1007251022;98;44
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;5;227;1;3;182;2;67553925;8;191;0;83;-34370095;172;77
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;5;159;0;1;201;3;3627751275;7;100;0;94;-937745010;136;47
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;3;115;5;1;137;2;220373155;151;74;1;207;2143858061;33;248
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;7;10;3;3;169;0;627148171;148;56;0;46;1847051608;34;204
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;4;32;5;2;105;2;3940729113;203;241;0;48;1570760155;69;227
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;7;75;3;3;110;3;2923977093;228;143;1;216;-2008975049;172;179
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;1;33;4;1;67;0;4032464128;87;33;1;187;-1691585164;186;25
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;3;53;3;1;119;2;1758698506;218;107;0;97;-1313063530;137;56
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;8;36;5;1;45;3;113892657;225;73;0;119;-1518565738;192;156
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;8;43;5;0;137;2;3397077692;15;238;1;147;1889869743;38;184
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;6;137;2;0;184;2;793891313;216;101;1;88;1155719016;227;229
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;3;50;6;3;40;3;2988905169;207;149;0;72;71170031;95;192
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;1;134;6;2;144;3;742645802;230;178;1;37;1216612529;253;31
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;6;15;2;3;215;3;990127551;223;67;0;140;-1040650957;205;26
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;8;85;3;1;214;0;3290702192;200;153;1;150;-1147945481;203;92
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;2;96;2;3;154;0;283209526;57;134;1;180;1442448433;72;135
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;6;52;4;3;99;2;3517096885;54;34;1;70;-619350282;190;180
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;2;183;2;0;68;0;2640577849;157;82;0;61;-1964963397;89;84
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;2;78;4;0;63;0;1842029706;113;156;1;186;-989400364;54;84
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;7;118;3;1;195;0;3094987172;193;44;0;228;-616867731;159;150
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;5;53;2;3;94;0;226715072;208;137;1;52;-162261811;104;243
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;4;137;4;1;128;2;1455182063;119;61;1;204;1886279537;188;42
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;5;175;4;3;101;0;1730054312;242;170;1;90;-46864506;170;34
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;2;192;2;2;254;3;2780839508;130;199;1;196;2005404534;234;184
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;4;173;1;3;173;3;1169612937;41;72;0;47;399243386;224;57
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;6;37;6;1;169;2;3057364309;114;78;0;213;-1006454420;190;180
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;3;251;4;1;97;2;873162043;200;233;0;227;1453831383;39;121
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;5;57;6;3;182;0;1630002836;205;106;0;187;-1751578263;33;2
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;1;237;6;0;140;0;3377148646;236;115;0;217;1834823381;116;233
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;2;240;4;2;151;0;2880443043;203;109;1;36;-1902157287;74;156
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;9;6;121;6;2;91;0;3633540130;17;99;1;121;-1232301267;82;178
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;5;176;1;2;133;2;175665096;210;191;0;182;-1611213562;51;6
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;4;185;3;2;245;2;1369521609;143;215;1;157;381836154;93;89
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;3;223;1;3;196;2;3809781933;248;91;0;141;-380647559;41;105
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;8;63;0;0;74;3;764143723;84;128;1;110;1687252800;205;114
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;1;29;2;3;150;0;3875205838;27;28;1;75;-11472808;218;117
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;5;241;3;0;238;2;232942620;55;74;0;125;-1668118369;128;30
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;8;220;5;0;39;2;1102052680;162;30;1;192;1553962472;32;232
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;6;228;3;1;238;0;877726903;19;191;0;222;1379184686;210;214
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;15;8;15;0;3;77;0;1916519844;9;58;0;8;1262574236;124;36
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;4;2;3;3;159;0;733401934;47;166;0;57;905176661;121;4
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;5;180;5;1;171;2;149378377;10;15;0;64;-1000563111;27;50
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;14;6;228;5;2;218;3;2845377513;107;161;1;113;895297544;26;158
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;3;89;3;1;69;2;1093656459;232;134;0;22;424414839;140;155
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;17;8;26;0;1;243;3;71201602;196;252;1;141;413742297;4;40
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;6;190;5;3;183;3;316072327;233;5;0;179;1052908938;150;105
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;5;1;179;4;1;66;0;1663539526;165;53;1;180;-1810138792;128;91
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;99;2;144;4;1;213;3;1407352706;155;171;0;214;-1533384383;233;134
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;6;186;5;0;122;3;3362900443;229;210;0;51;13181302;214;51
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;10;4;66;4;2;165;3;2880378533;148;161;1;105;-243314614;86;254
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;6;148;4;3;116;0;2592370339;251;101;1;87;-1427271424;145;34
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;1;2;75;0;0;114;2;628127623;93;126;0;160;2071814291;249;177
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;7;6;205;5;0;25;0;2182678082;141;133;1;161;2135433823;119;53
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;8;5;21;1;2;211;0;2707052986;196;71;1;138;1501365545;148;250
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;6;4;235;2;3;111;2;560896046;161;117;0;213;-375698285;210;218
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;11;4;87;3;0;192;3;2227365573;109;88;1;26;915344568;115;166
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;5;167;5;0;223;3;3317990277;188;75;1;244;-1589820949;137;136
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;4;8;69;5;1;184;0;3847377647;19;23;1;98;1340065309;37;250
-;12233A;MTXCREFD;0;3448;K2CDWMTXCREFD;1707914795007180288;11346848911862878885;331;2;8;63;3;3;179;3;1629101008;74;143;0;54;-366802801;105;231
-;12233A;MTXCREFD;0;3450;K2CDWMTXCREFD;1707914795056084224;16000542936067156582;331;9;6;121;5;0;28;0;1426826161;85;183;0;117;-1499068331;205;56
-;12233A;MTXCREFD;0;3450;K2CDWMTXCREFD;1707914795056084224;16000542936067156582;331;1;5;227;0;1;17;3;236033799;75;162;0;91;419776330;148;199
-;12233A;MTXCREFD;0;3450;K2CDWMTXCREFD;1707914795056084224;16000542936067156582;331;8;7;57;4;2;83;0;3418295572;254;178;0;12;1968779215;116;6
-;12233A;MTXCREFD;0;3450;K2CDWMTXCREFD;1707914795056084224;16000542936067156582;331;4;1;41;3;1;85;0;340056105;58;184;0;40;-331243072;85;92
-;12233A;MTXCREFD;0;3450;K2CDWMTXCREFD;1707914795056084224;16000542936067156582;331;17;8;174;3;2;222;2;2619069609;159;143;0;13;1418547561;218;184
-;12233A;MTXCREFD;0;3451;K2CDWMTXCREFD;1707914795059184640;5276548202990491211;331;17;1;131;6;3;73;0;1604454489;202;42;0;223;2030863170;;84
-;12233A;MTXCREFD;0;3451;K2CDWMTXCREFD;1707914795059184640;5276548202990491211;331;8;8;241;5;0;158;2;3407125767;7;175;0;39;2141342663;202;168
-;12233A;MTXCREFD;0;3451;K2CDWMTXCREFD;1707914795059184640;5276548202990491211;331;5;3;209;5;2;194;2;978093145;211;204;1;61;-1337679205;214;253
-;12233A;MTXCREFD;0;3451;K2CDWMTXCREFD;1707914795059184640;5276548202990491211;331;2;5;72;4;2;112;3;3115806814;221;140;0;166;-1910786799;244;191
-;12233A;MTXCREFD;0;3451;K2CDWMTXCREFD;1707914795059184640;5276548202990491211;331;11;6;200;2;3;84;3;2579341624;58;5;0;86;-1318961713;166;235
-;12233A;MTXCREFD;0;3452;K2CDWMTXCREFD;1707914795062324992;13740300294218772578;331;4;7;77;6;3;232;0;1518454114;163;78;1;35;-270892837;109;167
-;12233A;MTXCREFD;0;3452;K2CDWMTXCREFD;1707914795062324992;13740300294218772578;331;1;5;113;4;1;155;0;657482124;92;230;1;38;977849895;41;23
-;12233A;MTXCREFD;0;3452;K2CDWMTXCREFD;1707914795062324992;13740300294218772578;331;15;2;44;3;2;73;2;677780351;98;210;1;173;-1825005228;79;178
-;12233A;MTXCREFD;0;3452;K2CDWMTXCREFD;1707914795062324992;13740300294218772578;331;99;3;236;4;0;185;0;4159719069;245;191;1;74;-1035856745;2;41
-;12233A;MTXCREFD;0;3452;K2CDWMTXCREFD;1707914795062324992;13740300294218772578;331;11;1;32;3;0;24;3;797901654;82;131;0;133;1889738777;112;188
-;12233A;MTXCREFD;0;3453;K2CDWMTXCREFD;1707914795065395712;5072175032620593187;331;9;3;193;3;3;122;0;3522446038;55;173;1;180;-1282502258;169;135
-;12233A;MTXCREFD;0;3453;K2CDWMTXCREFD;1707914795065395712;5072175032620593187;331;7;7;188;4;3;235;2;2853746770;15;48;0;184;-252373129;165;239
-;12233A;MTXCREFD;0;3453;K2CDWMTXCREFD;1707914795065395712;5072175032620593187;331;14;3;64;4;3;245;3;2777499241;245;49;0;55;-124529388;112;151
-;12233A;MTXCREFD;0;3453;K2CDWMTXCREFD;1707914795065395712;5072175032620593187;331;2;4;29;2;2;47;0;839894796;27;208;1;165;2018031665;229;164
-;12233A;MTXCREFD;0;3453;K2CDWMTXCREFD;1707914795065395712;5072175032620593187;331;7;4;239;0;2;20;0;3916459768;33;10;0;110;79600624;104;216
-;12233A;MTXCREFD;0;3454;K2CDWMTXCREFD;1707914795068469248;3446431940111968577;331;1;1;48;3;3;227;3;3597378791;5;140;1;88;-526776310;55;207
-;12233A;MTXCREFD;0;3454;K2CDWMTXCREFD;1707914795068469248;3446431940111968577;331;7;7;58;5;3;176;2;4088961813;238;169;1;135;-328920286;93;0
-;12233A;MTXCREFD;0;3454;K2CDWMTXCREFD;1707914795068469248;3446431940111968577;331;10;4;39;6;0;82;3;2264907161;38;116;0;129;1535116792;135;139
-;12233A;MTXCREFD;0;3454;K2CDWMTXCREFD;1707914795068469248;3446431940111968577;331;4;7;174;0;3;22;3;1788558052;105;184;0;101;1222182104;121;36
-;12233A;MTXCREFD;0;3454;K2CDWMTXCREFD;1707914795068469248;3446431940111968577;331;6;2;251;1;1;143;0;3104126411;87;193;1;220;1172045962;112;119
-;12233A;MTXCREFD;0;3455;K2CDWMTXCREFD;1707914795071557120;16159165580098482414;331;1;6;173;3;1;168;2;3099754415;45;198;0;128;-1135613005;250;154
-;12233A;MTXCREFD;0;3455;K2CDWMTXCREFD;1707914795071557120;16159165580098482414;331;15;2;52;4;1;212;3;2206415266;254;222;1;152;-1283901164;222;96
-;12233A;MTXCREFD;0;3455;K2CDWMTXCREFD;1707914795071557120;16159165580098482414;331;2;1;110;3;0;14;3;1535098722;253;198;1;172;506794926;8;168
-;12233A;MTXCREFD;0;3455;K2CDWMTXCREFD;1707914795071557120;16159165580098482414;331;15;4;105;1;1;79;3;1907680284;38;31;1;57;732398011;56;101
-;12233A;MTXCREFD;0;3455;K2CDWMTXCREFD;1707914795071557120;16159165580098482414;331;99;5;176;3;3;102;3;3429939914;141;65;1;59;-1597934662;64;116
-;12233A;MTXCREFD;0;3456;K2CDWMTXCREFD;1707914795074642176;3037693649159723831;331;8;5;101;1;3;93;2;4276210513;58;190;1;157;1468158209;40;151
-;12233A;MTXCREFD;0;3456;K2CDWMTXCREFD;1707914795074642176;3037693649159723831;331;14;3;112;6;1;151;0;3337546891;131;40;0;49;1785631994;165;16
-;12233A;MTXCREFD;0;3456;K2CDWMTXCREFD;1707914795074642176;3037693649159723831;331;10;4;46;3;3;57;3;1403928784;209;86;1;209;-1207811781;144;144
-;12233A;MTXCREFD;0;3456;K2CDWMTXCREFD;1707914795074642176;3037693649159723831;331;5;1;133;5;1;38;3;4243428603;87;146;0;69;-1752406962;185;166
-;12233A;MTXCREFD;0;3456;K2CDWMTXCREFD;1707914795074642176;3037693649159723831;331;17;1;147;0;1;252;2;4169336413;96;253;0;145;-1788832675;61;150
-;12233A;MTXCREFD;0;3457;K2CDWMTXCREFD;1707914795077731328;11060177655975847235;331;1;2;206;3;0;212;3;3171628192;89;222;0;122;1795621996;199;209
-;12233A;MTXCREFD;0;3457;K2CDWMTXCREFD;1707914795077731328;11060177655975847235;331;8;1;27;2;2;217;3;3515267298;212;179;1;86;-1535517318;39;129
-;12233A;MTXCREFD;0;3457;K2CDWMTXCREFD;1707914795077731328;11060177655975847235;331;14;8;231;5;0;85;0;3225692952;129;168;0;202;-1598279160;176;207
-;12233A;MTXCREFD;0;3457;K2CDWMTXCREFD;1707914795077731328;11060177655975847235;331;4;5;114;4;3;209;0;1315820639;21;219;1;242;1765546591;231;205
-;12233A;MTXCREFD;0;3457;K2CDWMTXCREFD;1707914795077731328;11060177655975847235;331;5;3;234;1;1;167;0;2772452118;212;55;1;135;-330942157;204;232
-;12233A;MTXCREFD;0;3458;K2CDWMTXCREFD;1707914795080798720;13431590205873342109;331;17;8;97;2;0;207;0;259396348;40;131;1;181;2112722191;203;195
-;12233A;MTXCREFD;0;3458;K2CDWMTXCREFD;1707914795080798720;13431590205873342109;331;4;7;230;2;3;48;0;2696580609;213;223;1;27;2022274244;243;188
-;12233A;MTXCREFD;0;3458;K2CDWMTXCREFD;1707914795080798720;13431590205873342109;331;11;8;228;6;2;178;3;527218450;77;108;0;88;1842820839;59;225
-;12233A;MTXCREFD;0;3458;K2CDWMTXCREFD;1707914795080798720;13431590205873342109;331;15;3;119;2;0;115;2;494757683;112;51;0;177;175075567;125;185
-;12233A;MTXCREFD;0;3458;K2CDWMTXCREFD;1707914795080798720;13431590205873342109;331;7;2;154;1;3;68;0;5878488;12;45;1;28;-1544639828;72;207
-;12233A;MTXCREFD;0;3459;K2CDWMTXCREFD;1707914795083860480;11080049948808218136;331;10;4;174;2;0;49;3;2799894207;60;98;0;186;-521007881;143;253
-;12233A;MTXCREFD;0;3459;K2CDWMTXCREFD;1707914795083860480;11080049948808218136;331;5;2;67;6;1;179;2;2920071744;134;93;1;118;-633409018;117;224
-;12233A;MTXCREFD;0;3459;K2CDWMTXCREFD;1707914795083860480;11080049948808218136;331;10;2;132;3;3;134;0;3113587775;28;138;1;8;-1046974575;225;160
-;12233A;MTXCREFD;0;3459;K2CDWMTXCREFD;1707914795083860480;11080049948808218136;331;14;6;164;5;3;37;2;2667284733;249;121;1;214;-39635664;222;213
-;12233A;MTXCREFD;0;3459;K2CDWMTXCREFD;1707914795083860480;11080049948808218136;331;9;2;96;5;2;174;2;4168462995;223;128;0;106;1252417180;110;137
-;12233A;MTXCREFD;0;3460;K2CDWMTXCREFD;1707914795086914304;14119410342139276304;331;15;6;106;2;1;211;0;2115205840;144;185;0;5;-976689184;181;164
-;12233A;MTXCREFD;0;3460;K2CDWMTXCREFD;1707914795086914304;14119410342139276304;331;6;3;6;2;1;56;2;281228574;166;68;0;115;-1352826766;114;10
-;12233A;MTXCREFD;0;3460;K2CDWMTXCREFD;1707914795086914304;14119410342139276304;331;7;2;104;2;2;35;2;2730068399;126;158;0;91;2120641752;55;129
-;12233A;MTXCREFD;0;3460;K2CDWMTXCREFD;1707914795086914304;14119410342139276304;331;17;3;125;3;3;22;3;2552652625;22;179;1;45;-503080783;115;234
-;12233A;MTXCREFD;0;3460;K2CDWMTXCREFD;1707914795086914304;14119410342139276304;331;8;3;8;3;2;241;2;1353836692;99;109;0;233;1379360892;63;246
-;12233A;MTXCREFD;0;3461;K2CDWMTXCREFD;1707914795089977856;16954913687769653893;331;1;8;183;4;3;184;0;4043020527;41;109;0;179;-2146184554;165;147
-;12233A;MTXCREFD;0;3461;K2CDWMTXCREFD;1707914795089977856;16954913687769653893;331;2;3;139;3;3;157;2;1551197638;74;100;1;152;-1118604413;72;176
-;12233A;MTXCREFD;0;3461;K2CDWMTXCREFD;1707914795089977856;16954913687769653893;331;10;2;198;0;0;85;3;895610916;239;94;0;157;2109413667;193;48
-;12233A;MTXCREFD;0;3461;K2CDWMTXCREFD;1707914795089977856;16954913687769653893;331;17;4;85;3;3;185;0;3751410929;173;191;0;209;907358201;193;26
-;12233A;MTXCREFD;0;3461;K2CDWMTXCREFD;1707914795089977856;16954913687769653893;331;6;1;55;2;1;17;0;2391752635;116;29;0;39;-1497976555;125;169
-;12233A;MTXCREFD;0;3462;K2CDWMTXCREFD;1707914795093037056;10602485694642546411;331;10;8;78;1;0;22;3;1523334998;13;149;0;173;249981461;71;76
-;12233A;MTXCREFD;0;3462;K2CDWMTXCREFD;1707914795093037056;10602485694642546411;331;8;8;166;2;0;175;3;1130241731;109;179;1;226;-1353102903;158;140
-;12233A;MTXCREFD;0;3462;K2CDWMTXCREFD;1707914795093037056;10602485694642546411;331;1;1;242;4;2;239;0;3477937288;48;194;0;168;26539940;148;77
