'768715101':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '266897078074289146', 'ENR_INSTRUMENTGROUPCODE': '8i', 'ENR_OFFICIALSEGMENT': 'jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy', 'ENR_TRADINGCURRENCY': 'eRU', 'ENR_CURRENCYCOEFFICIENT': '3936869548', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '4082490661', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'812571727':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '253383926040436670', 'ENR_INSTRUMENTGROUPCODE': 'rY', 'ENR_OFFICIALSEGMENT': '8sJh4IjTQ36PIQZuVACyJ3nhjBAcIpHImKwFt9MIVJ7XV6zSpsH3fNmc4FsgnJLHhlRUMq', 'ENR_TRADINGCURRENCY': 'RK7', 'ENR_CURRENCYCOEFFICIENT': '4069860172', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '385347070', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'641357936':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '735870582654623346', 'ENR_INSTRUMENTGROUPCODE': 'BE', 'ENR_OFFICIALSEGMENT': 'qUPQJFdet2tqfkZnBzE4fibDY4YKbdn1ADWcSBhfOfMWgRoj4PdwiQ1YNIaSE095MGkykK', 'ENR_TRADINGCURRENCY': '9z6', 'ENR_CURRENCYCOEFFICIENT': '2471500330', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1795999533', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'584621813':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8961283129513184610', 'ENR_INSTRUMENTGROUPCODE': 'Tr', 'ENR_OFFICIALSEGMENT': 'lh4fas3DzZqcCdIgmyBxbwrxMeoHzOyQK55X73SuHF5QR6JgJZvV0S5dzxc2CosSonpJSu', 'ENR_TRADINGCURRENCY': 'utl', 'ENR_CURRENCYCOEFFICIENT': '2389041993', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3640874400', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'495012502':'HDR_MIC': 'BGEM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '15737253087374332469', 'ENR_INSTRUMENTGROUPCODE': 'dI', 'ENR_OFFICIALSEGMENT': 'tof6kmIROAfvkWLjZpYkX3liii7UCK8yfUeVHGhNggrriJKLr41MR12ZFKvGLxtSdMMZFU', 'ENR_TRADINGCURRENCY': 'iPI', 'ENR_CURRENCYCOEFFICIENT': '108538112', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2845375302', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'302074901':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '10051211470154715749', 'ENR_INSTRUMENTGROUPCODE': 'tC', 'ENR_OFFICIALSEGMENT': 'wgmMI6ngssJn0EcunmK2dTb6FGJjDGePQQINhET9LzV3FsVXuButMIPC1zO599CbfCLteg', 'ENR_TRADINGCURRENCY': '2Jb', 'ENR_CURRENCYCOEFFICIENT': '2164436114', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3984001619', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'966477508':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '1293858113929826603', 'ENR_INSTRUMENTGROUPCODE': 'Yv', 'ENR_OFFICIALSEGMENT': 'mK4IuG0cv4P5uzCElKjHC1PplDPsPnxvfONYrtT7COVJvUzvWIY9GFyen0rGWTYiVQYhxy', 'ENR_TRADINGCURRENCY': 'eRW', 'ENR_CURRENCYCOEFFICIENT': '609587171', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2923765661', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'270958719':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '802337334887254903', 'ENR_INSTRUMENTGROUPCODE': 'Up', 'ENR_OFFICIALSEGMENT': 'HLJPPGEehNvpWH89DGOJ8PLMGzmiGW5paIkbZXyckbXBp3s7Kz5QDI53BAbUBarq8Ut3gy', 'ENR_TRADINGCURRENCY': 'vSr', 'ENR_CURRENCYCOEFFICIENT': '2977716072', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '1562943352', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'646191940':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8608480177233787394', 'ENR_INSTRUMENTGROUPCODE': '0W', 'ENR_OFFICIALSEGMENT': 'Tptinu2sxPn8jOBRKYzEq2HFOQ9t0lLE3HBMvYwsRuvekmfSW3KDhCYIHBXCkjFG3o0z7Y', 'ENR_TRADINGCURRENCY': 'ZyQ', 'ENR_CURRENCYCOEFFICIENT': '3985526438', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '1377745811', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'830866530':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '2747794012786548291', 'ENR_INSTRUMENTGROUPCODE': 'O1', 'ENR_OFFICIALSEGMENT': 'N6sWonQgg8dwJraFkkov3Sh2XNFZvRpKliCeH7Iz2ZTnM2PGqeecv88RTIXtM6oUeH0avs', 'ENR_TRADINGCURRENCY': 'Fb3', 'ENR_CURRENCYCOEFFICIENT': '3866550079', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '953821923', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'584956955':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '14697764618132829375', 'ENR_INSTRUMENTGROUPCODE': 'Dg', 'ENR_OFFICIALSEGMENT': 'rfnDvkhphe7y9vBiZ1Obbb9JLSiVjnxrypVHQYUZRN6xwQx7DF2PAzpKLaGr0UAWuPl5sZ', 'ENR_TRADINGCURRENCY': 'y9e', 'ENR_CURRENCYCOEFFICIENT': '1956078322', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3146580866', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'45567501':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '18029192518840629494', 'ENR_INSTRUMENTGROUPCODE': 'F9', 'ENR_OFFICIALSEGMENT': 'dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF', 'ENR_TRADINGCURRENCY': 'mZz', 'ENR_CURRENCYCOEFFICIENT': '715298285', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3664267567', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'306138594':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '7946700087367777004', 'ENR_INSTRUMENTGROUPCODE': 'yq', 'ENR_OFFICIALSEGMENT': 'CF9LzFvEMcAEFrXksi7xaYDLhYECfbTBUTvf47Iyhg94lnxn643vndRVZug91JilWQrPoh', 'ENR_TRADINGCURRENCY': 'H5X', 'ENR_CURRENCYCOEFFICIENT': '4105738847', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '4102579803', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'722112170':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '4580367871792003646', 'ENR_INSTRUMENTGROUPCODE': 'Ej', 'ENR_OFFICIALSEGMENT': 'SGWaFQSdDwcEEg6NqPAhfRgvpzUYhZxmKicUESMe4hU1n6ob1Krwew1sVjkJs3fisC9sRk', 'ENR_TRADINGCURRENCY': '8YZ', 'ENR_CURRENCYCOEFFICIENT': '3930911048', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '73427586', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'752014678':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '7543779628463121226', 'ENR_INSTRUMENTGROUPCODE': 'Zv', 'ENR_OFFICIALSEGMENT': 'oM9u2Gv4glWUDnxXjh73s9ROn7SFSFNDw5qgLKxrfyrz13xxSseTVmkqa6NNywvKXHdXoW', 'ENR_TRADINGCURRENCY': '3pd', 'ENR_CURRENCYCOEFFICIENT': '1144034105', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3453138748', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'618823017':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '12054811170271428204', 'ENR_INSTRUMENTGROUPCODE': 'nV', 'ENR_OFFICIALSEGMENT': 'FPXreqKwXS9gFZc7kSv3pq313nGk9zQg81axdoUMuKtfCtAMKbIy7eVIjVndhWk5PsL5Vz', 'ENR_TRADINGCURRENCY': 'p1o', 'ENR_CURRENCYCOEFFICIENT': '2788483957', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '57016669', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'912775729':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '9607954405898040147', 'ENR_INSTRUMENTGROUPCODE': 'M0', 'ENR_OFFICIALSEGMENT': 'jBvQLfCUaDTDRXO4nr0UuFYqDGnNvjcmsoxwNrf4sMSpOkPfRkA5FixoCGLynGRKvmTgwQ', 'ENR_TRADINGCURRENCY': '65k', 'ENR_CURRENCYCOEFFICIENT': '1518471675', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3902323836', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'614218173':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '9073334914057698938', 'ENR_INSTRUMENTGROUPCODE': 'CL', 'ENR_OFFICIALSEGMENT': 'PEKvkSXcY12iiGe6VqvyFNSV5RkYLcy3V9h8GM5HGE2KhkOqP6T6vBcN2PKHBZFuoNSee9', 'ENR_TRADINGCURRENCY': 'caX', 'ENR_CURRENCYCOEFFICIENT': '1203790480', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1032103264', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'958873221':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '3265245924283388256', 'ENR_INSTRUMENTGROUPCODE': 'PP', 'ENR_OFFICIALSEGMENT': 'PS81FA8TgDqaJYWV3hVcd6cGKaNKeeqUWZ9pJCsiXfPYMSQ5XQT94iytJ4FFeswdSrf7Ib', 'ENR_TRADINGCURRENCY': 'ZqV', 'ENR_CURRENCYCOEFFICIENT': '3161710950', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2181840232', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'783519657':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '9848883454440340583', 'ENR_INSTRUMENTGROUPCODE': 'EJ', 'ENR_OFFICIALSEGMENT': 'pcRDaAkms5RTF26dRq7DsjfOELBZharWXfUGlpiGd7tKUl4j703deHGQYpLxc9a62m1XvL', 'ENR_TRADINGCURRENCY': 'gn4', 'ENR_CURRENCYCOEFFICIENT': '4139956870', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '1521830368', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'48267691':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '432575572496956472', 'ENR_INSTRUMENTGROUPCODE': '51', 'ENR_OFFICIALSEGMENT': 'ZoN8AMqKRSFWAZmSVY89AUkV2eY0sqm4DpjgHMC8Q4P3OhOdI5SJqnIub1mGZw59Y8JsnT', 'ENR_TRADINGCURRENCY': '1Oh', 'ENR_CURRENCYCOEFFICIENT': '4154696354', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '128672798', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'137559582':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '3348679182658530887', 'ENR_INSTRUMENTGROUPCODE': 'Dm', 'ENR_OFFICIALSEGMENT': 'UbnqngxPRLvBibVAd5Nep624qO6YqnCnT1wFztGjUC8beNAgmUjy3JDjxr7tqUMdHsKF8G', 'ENR_TRADINGCURRENCY': 'bYQ', 'ENR_CURRENCYCOEFFICIENT': '3374658886', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2174242990', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'116590120':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '16604201063603075126', 'ENR_INSTRUMENTGROUPCODE': 'C8', 'ENR_OFFICIALSEGMENT': 'WTPQHMtC6OOssgUauml5HdbLjeYJcTxzShEdbz7us7BjAPTYkBOr5jhbH2t0C33otcERGC', 'ENR_TRADINGCURRENCY': 'nI9', 'ENR_CURRENCYCOEFFICIENT': '2198488968', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2497330175', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'952282621':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '11871043582309635757', 'ENR_INSTRUMENTGROUPCODE': 'bK', 'ENR_OFFICIALSEGMENT': 'zWIRpiGwyQnoiWiYLZUbYqgmNpu9KQRkXbitvFOIP16LfGeBnvxLxJSkh0hD88LU93YBRX', 'ENR_TRADINGCURRENCY': 'n53', 'ENR_CURRENCYCOEFFICIENT': '4133966827', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2968765200', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'710897910':'HDR_MIC': 'ETFP', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '1931040184549803271', 'ENR_INSTRUMENTGROUPCODE': 'sP', 'ENR_OFFICIALSEGMENT': 'eXjD0dmUFob2myEu4WHmnyrY9slxTyHo2gcRH9lhkWuT8MuVhAJ5y7yBGKlAFITc1oD0tS', 'ENR_TRADINGCURRENCY': 'pZS', 'ENR_CURRENCYCOEFFICIENT': '2003829940', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1804395850', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'27066957':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '11757426431497952689', 'ENR_INSTRUMENTGROUPCODE': '8t', 'ENR_OFFICIALSEGMENT': 'ZJTIImJh5M2ycBPjaJeJ3HE6ZSNrPKKXUAAoO51m8fs4iHLpBcuBvWRfPacpVKK5C9ulHA', 'ENR_TRADINGCURRENCY': 'mwc', 'ENR_CURRENCYCOEFFICIENT': '287223562', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '501196996', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'77516395':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '5825477365447811885', 'ENR_INSTRUMENTGROUPCODE': '23', 'ENR_OFFICIALSEGMENT': '6o0deIcAzGwYeAPtwJ0SD2Zlmd23R3Xw2T4U0oxzJsyTWk6u73ebgOeFjvXXsfi1koA5oy', 'ENR_TRADINGCURRENCY': 'cA4', 'ENR_CURRENCYCOEFFICIENT': '2793246266', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3358185533', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'83351337':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '1372060987366733032', 'ENR_INSTRUMENTGROUPCODE': 'sa', 'ENR_OFFICIALSEGMENT': 'YOGvsHtPStgtEDUgu7nK8KI3ZEXZPZ2LcGIFMgJgYCtpJMOALBh3wdXcyw4EVyWm7Sna9v', 'ENR_TRADINGCURRENCY': '9Mx', 'ENR_CURRENCYCOEFFICIENT': '2053645330', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '1659700653', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'971929135':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '15700594716965461706', 'ENR_INSTRUMENTGROUPCODE': 'Iv', 'ENR_OFFICIALSEGMENT': 'NI3ZigcstsvWfkMnISqY6spDplBqATUc42m8tSEaNn4D2ULsYNKsXX0GwIsrUg4h0yoBYk', 'ENR_TRADINGCURRENCY': 'pwc', 'ENR_CURRENCYCOEFFICIENT': '1625613301', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '44528469', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'882027164':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '13180576197349592966', 'ENR_INSTRUMENTGROUPCODE': 'Ya', 'ENR_OFFICIALSEGMENT': 'LvoLr3gGSgjQ3CPkb0hw1PsQNlPhohcO0PkmG8buRVBEzBmZeCta4pOCzb9TXvplE2lD5n', 'ENR_TRADINGCURRENCY': 'ZEE', 'ENR_CURRENCYCOEFFICIENT': '1370878464', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '564556373', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'845948744':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '12641822112283066665', 'ENR_INSTRUMENTGROUPCODE': 'Kz', 'ENR_OFFICIALSEGMENT': 'vtyaoOQwxIkSZH28TpXNQvLDZYKwWLH42IHCGPPgjHaOvb2biBgwxjRDgIIm5TnhGBn3er', 'ENR_TRADINGCURRENCY': 'IvE', 'ENR_CURRENCYCOEFFICIENT': '481675619', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2965735876', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'659932215':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8695965697730502662', 'ENR_INSTRUMENTGROUPCODE': 'dW', 'ENR_OFFICIALSEGMENT': 'YOhJY9QsMyy7kB0oDnWSP4wzHU6mY2lBGgr5xNESnl0A58iBpZmbFbk23YtnKFzQYZGuON', 'ENR_TRADINGCURRENCY': 'RgQ', 'ENR_CURRENCYCOEFFICIENT': '574056598', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1464455073', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'767156925':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '2553913687493546923', 'ENR_INSTRUMENTGROUPCODE': 'qi', 'ENR_OFFICIALSEGMENT': '05RFpwWXV9p2sRcqtJCNGO1oHqJVxUdmVGTpfD6cd0AoNgiCdnJU0GIcCdMhOR4V65Q9xs', 'ENR_TRADINGCURRENCY': 'jD3', 'ENR_CURRENCYCOEFFICIENT': '174816006', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3599672894', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'235516096':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '2864216930367635044', 'ENR_INSTRUMENTGROUPCODE': 'lo', 'ENR_OFFICIALSEGMENT': '67CogyjJh5BIwZmPmCruYc6aWCJ0zPxHvLqKAg6cSQfazQp2TRoJIhaIsRVuvXt2tqGnrE', 'ENR_TRADINGCURRENCY': '7U4', 'ENR_CURRENCYCOEFFICIENT': '1653924567', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2095074526', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'839729658':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '7233542875087553737', 'ENR_INSTRUMENTGROUPCODE': '7l', 'ENR_OFFICIALSEGMENT': 'py8nuKQ6UPmKROFkHUE2KnxZ4lm8sjk0YJhOL59oEYqEeMTRaDLcAzoeC2NvwvKPLotX24', 'ENR_TRADINGCURRENCY': '3aZ', 'ENR_CURRENCYCOEFFICIENT': '2929561295', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3397842308', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'365314678':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '12369365502866502262', 'ENR_INSTRUMENTGROUPCODE': 'yp', 'ENR_OFFICIALSEGMENT': 'Bif62lLmaxmwv5WSDVLqX1246SlTdVDRbRl4rFJi0pEe6wLFagE8My6OsbFa5j5vjUAqie', 'ENR_TRADINGCURRENCY': 'jEL', 'ENR_CURRENCYCOEFFICIENT': '4083509881', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2262818496', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'361376530':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '7926209950832736966', 'ENR_INSTRUMENTGROUPCODE': '7k', 'ENR_OFFICIALSEGMENT': '0jK2c6P4DrRkdYDx7coRvIFgfZtpGfo0DH97Pvs7sSmijPLwc17hsh6k149ffOW1gHpdiw', 'ENR_TRADINGCURRENCY': 'Pk0', 'ENR_CURRENCYCOEFFICIENT': '3469556622', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '223330446', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
